"zipcode","pct_female","total_pop","pct_white","pct_black","pct_latino","pct_foreig","pct_public","pct_never_","pct_povert","median_hh_","gini_index","pct_unempl","pct_bachel","pct_only_e","age_18_19","age_20_24","age_25_34","age_35_44","age_0_5","age_5_9","age_10_14","age_15_17","pct_pop_ch","pop_densit","pct_rentin","median_ren","age_45_54","age_55_64","age_65_74","age_75_84","age_85_plu","trump16pct","ducey18pct","yestaxpct","trump20pct","countyname","pct_emp_info","pct_emp_finance","pct_emp_profess","pct_emp_ed_health","pct_emp_agri","pct_emp_mining","pct_emp_construct","pct_emp_manufac","pct_emp_wholesale","pct_emp_retail","pct_emp_transpo","pct_emp_hospitality","pct_emp_other_serv","pct_emp_govt","case_count_mail","case_count_ed","log_case_count_mail","log_case_count_ed","cases_1k","tribal_zip","under18","age_18_65","over65","ln_pop","yestaxpct_z","emp_pct_chg","pay_pct_chg","emp_pct_loss","pay_pct_loss"
85086,52.2762,41780,92.0321,1.2111,8.7674,5.7133,0.1906,23.5559,3.1068,100271.28310561,0.43153968627642,1.0948,27.0013,89.5308,2.9512,4.6458,7.4605,14.3059,2.6424,5.4356,5.3471,4.7989,1.6496,716.1692,20.2741,1647.060916207,18.0493,14.3657,13.9445,4.8564,1.1273,0.64092,0.70978,40.892,0.64813,"Maricopa",1.7184,14.2537,13.0951,23.2937,0.6523,0,6.2117,6.1922,2.1858,11.4448,4.1622,7.9934,4.4446,4.3521,733,828,6.59850902861452,6.7202201551353,17.5442795595979,0,18.224,61.7784,19.9282,10.6401730351106,-0.601319118939433,4.37815375482339,14.3333674650872,-4.37815375482339,-14.3333674650872
85087,51.677,8855,90.8526,0.5082,5.1722,5.3981,0,24.8954,7.3689,68721.205632678,0.37638,3.8278,18.7075,86.4441,1.2648,6.0079,5.7143,9.0457,5.1835,4.7995,6.2789,6.629,12.0886,118.1207,10.0975,1521.011834127,15.1327,15.1779,17.9221,4.1897,2.3377,0.6967,0.75242,35.657,0.71321,"Maricopa",4.4425,8.706,13.4466,19.5886,0.4174,1.1628,10.644,5.2773,3.7567,12.6714,7.1556,6.4997,4.9493,1.2821,133,150,4.89783979995091,5.01727983681492,15.0197628458498,0,22.8909,52.3433,24.4495,9.08873755021693,-1.0088738332315,25.5681818181818,45.7522167731709,-25.5681818181818,-45.7522167731709
85118,52.1318,13111,96.2474,0.6636,3.7755,6.9712,0,12.8042,9.7809,65221.924919219,0.53765879247904,0.987,25.9526,97.093,2.0212,3.5161,1.861,4.5839,0.8619,0.8466,2.0517,1.228,10.576,82.2108,6.8483,1155.6614486965,7.9399,19.3578,32.4842,19.1671,3.8975,0.62776,0.71179,39.131,0.62941,"Pinal",1.4297,13.3776,11.4884,21.3429,0,1.8637,6.8164,7.1994,1.5828,14.5009,3.8805,6.842,4.4932,5.1825,158,201,5.06890420222023,5.3082676974012,12.0509495843185,0,4.9882,39.2799,55.5488,9.4812068514994,-0.7384163208245,-18.5798816568047,13.7539541534862,18.5798816568047,-13.7539541534862
85119,53.7962,23115,95.743,0.3331,9.0893,7.9991,0.2391,21.8958,12.0733,50493.393172142,0.41049701136711,0.9582,10.5835,91.5057,0.9777,3.5258,7.6703,6.7921,3.448,4.8194,2.4746,1.5747,11.8179,524.5528,24.5599,831.98876156147,11.8235,16.9327,23.1884,14.8129,1.8516,0.63571,0.70287,40.8,0.6513,"Pinal",1.8956,6.4291,9.4439,22.5876,0,0.2855,8.2334,9.5238,1.907,16.8437,3.54,10.7,4.111,4.4993,341,418,5.8348107370626,6.03787091992214,14.7523253298724,0,12.3167,47.7221,39.8529,10.0482370364223,-0.608481494052112,-7.00763865825307,15.0166520446667,7.00763865825307,-15.0166520446667
85120,50.1876,33578,92.0573,1.0215,13.3302,9.1459,0.0082,26.7413,14.6843,41255.981434274,0.45471024238256,1.7851,11.6305,84.6659,1.6618,4.1843,8.4817,10.0393,4.229,4.0622,4.4315,3.6095,17.4097,1881.17,23.4849,775.09731646716,10.6141,15.7425,18.6997,10.5039,3.6572,0.62078,0.69237,42.899,0.62496,"Pinal",1.0058,6.7632,11.168,22.2405,3.4683,0.711,8.1939,6.6765,2.7833,14.0553,4.951,9.6592,5.003,3.3209,595,713,6.39024066706535,6.57088296233958,17.7199356721663,0,16.3322,50.7237,32.8608,10.4216263695963,-0.445070348818293,-0.493171471927162,7.81006537837534,0.493171471927162,-7.81006537837534
85122,50.705,59929,70.0245,3.3156,48.0585,9.2276,0.0508,36.7934,19.7013,48162.783029008,0.43684,3.4998,7.9038,73.7907,3.0353,6.2624,14.0616,11.6254,6.6045,7.8576,9.0457,3.8629,13.4654,1198.1178,39.1409,915.14814724122,10.3122,10.6609,9.4462,6.0338,1.143,0.51554,0.60708,47.97,0.53267,"Pinal",0.7994,3.2016,7.2487,23.5582,1.6113,0.2093,5.0306,13.8026,2.2014,13.4134,5.3235,10.8144,4.8129,7.9727,1806,1954,7.49942329059223,7.57814547241947,30.1356605316291,0,27.3707,55.9578,16.623,11.0009158071792,-0.050283346683613,-3.91314182311694,3.01522892035226,3.91314182311694,-3.01522892035226
85123,53.222,13051,84.5836,0,42.7324,7.2868,0.0504,27.716,23.8176,41796.404019838,0.46266495984645,4.606,9.5378,78.318,0.3448,8.712,12.5814,10.5892,6.7964,9.187,5.0571,5.8999,43.3388,490.6149,37.7845,881.4554878975,6.2677,11.8382,13.248,7.8538,1.4558,0.6377,0.69553,39.029,0.63608,"Pinal",0,4.8861,7.7409,26.846,4.6665,0,8.7565,7.933,1.647,8.5918,4.3096,11.4466,4.8861,8.2899,291,312,5.67675380226828,5.74620319054015,22.2971419814574,0,26.9404,50.3333,22.5576,9.47662003816753,-0.746357214971164,-4.32432432432432,13.8081266115409,4.32432432432432,-13.8081266115409
85128,51.1805,17069,68.7386,5.261,41.8595,5.2962,0.0461,37.0852,19.1751,44214.207467862,0.40510533507899,4.1603,11.0921,76.8371,1.9802,6.1456,15.8357,11.2719,4.8626,8.3485,8.8816,4.8626,7.5755,104.4815,43.0972,764.7900349851,12.3792,13.3165,7.6689,3.1812,1.1248,0.4945,0.6044,46.648,0.53392,"Pinal",1.7117,5.3654,9.2001,22.6465,5.2172,1.8762,7.0441,8.262,0.1317,8.5418,2.9954,8.9203,3.0941,14.9934,577,651,6.35957386867238,6.48004456192665,33.8039721131876,0,26.9553,60.9291,11.9749,9.74501923176433,-0.153203562976661,6.55226209048362,5.60594890861887,-6.55226209048362,-5.60594890861887
85131,25.4177,19573,76.8354,9.4927,52.8994,18.2496,0.1858,53.6894,23.0608,37975.328748892,0.46877817611561,1.2517,4.9952,60.6971,1.1853,8.384,25.8877,19.3328,3.0808,2.2224,2.9377,1.9568,9.4871,72.602,34.5097,670.1190952783,12.364,10.0904,8.8591,2.718,0.8379,0.44515,0.5801,46.672,0.49529,"Pinal",0,2.4518,10.4578,17.8634,8.8566,0.8506,6.4799,13.1849,0.9257,9.6072,4.2532,14.3608,2.9772,7.7308,1384,1514,7.23345541862144,7.32317071794347,70.7096510499157,0,10.1977,77.2442,12.415,9.88190634450252,-0.151335117295093,-2.44316253817441,2.7918061135822,2.44316253817441,-2.7918061135822
85132,29.0095,36750,82.6939,7.4531,34.5796,9.8503,0.9406,42.9825,7.5912,54076.773932337,0.39680417188837,3.0283,8.6073,69.1149,1.7224,6.4898,22.9197,17.4422,3.9537,3.2816,4.4027,1.5619,2.0465,60.8457,22.8002,961.69663558589,12.1741,12.2503,8.8354,4.0517,0.8435,0.61641,0.68304,40.98,0.63782,"Pinal",1.3921,5.1326,10.3135,21.3897,1.2831,1.5616,5.5441,3.7647,1.2952,11.6451,6.7909,10.2167,3.3652,16.3055,1440,1532,7.27309259599952,7.33498187887181,39.1836734693878,0,13.1999,72.9985,13.7306,10.511893504641,-0.59446815144035,-12.224322621298,-11.0625415921813,12.224322621298,11.0625415921813
